Mic,MicName,ExchangeCode,ExchangeName
XADS,ABU DHABI SECURITIES EXCHANGE,ABD,Abu Dhabi Stock Exchange
PFTS,PFTS STOCK EXCHANGE,PFT,PFTS Securities Trading System (Ukraine)
XXXX,"NO MARKET (EG, UNLISTED)",LIP,Lipper
NSME,NORDIC SME,NGM,Nordic Growth Market
NOTC,NORWEGIAN OVER THE COUNTER MARKET,NFF,Norwegian Fund Broker Association
XVTX,SIX SWISS EXCHANGE - BLUE CHIPS SEGMENT,VTX,SIX SWISS EXCHANGE AG
UKEX,UKRAINIAN EXCHANGE,UAX,OJSC UKRAINE EXCHANGE
XBOG,BOLSA DE VALORES DE COLOMBIA,COL,Bolsa de Valores de Colombia
XPAE,PALESTINE SECURITIES EXCHANGE,PLS,Palestine Securities Exchange
XXXX,"NO MARKET (EG, UNLISTED)",IBX,iBOXX Ltd
XXXX,"NO MARKET (EG, UNLISTED)",BQT,BeQuoted.com
XOCH,"ONECHICAGO, LLC",ONE,One Chicago LLC
XDAR,DAR ES  SALAAM STOCK EXCHANGE,DSS,Dar es Salaam Stock Exchange
XADF,FINRA ALTERNATIVE DISPLAY FACILITY,ADC,NASD Alternative Display Facility for NYSE/AMEX Issues
XASE,NYSE MKT LLC,LCA,NYSE American when trading NASDAQ Global Mkt
XBOS,NASDAQ OMX BX,LCB,Boston SE when trading NASDAQ Global Market
XCIS,"NATIONAL STOCK EXCHANGE, INC.",LCC,NYSE National Exchange for Nasdaq Large Cap
XCHI,"NYSE CHICAGO, INC.",LCM,Chicago SE when trading NASDAQ Global Market
XNYS,"NEW YORK STOCK EXCHANGE, INC.",LCN,NYSE when trading NASDAQ Global Market
ARCX,NYSE ARCA,LCP,NYSE Arca when trading NASDAQ Global Market
XPSX,NASDAQ OMX PSX,LCX,NASDAQ OMX PSX for Nasdaq Global Market
XXXX,"NO MARKET (EG, UNLISTED)",NAQ,NASDAQ Capital Market Consolidated
XXXX,"NO MARKET (EG, UNLISTED)",NMQ,NASDAQ Global Market Consolidated
XASE,NYSE MKT LLC,SCA,NYSE American when trading NASDAQ Capital Mkt
XBOS,NASDAQ OMX BX,SCB,Boston SE when trading NASDAQ Capital Market
XCIS,"NATIONAL STOCK EXCHANGE, INC.",SCC,NYSE National Exchange for Nasdaq Capital Market
XCHI,"NYSE CHICAGO, INC.",SCM,Chicago SE when trading NASDAQ Capital Market
XNYS,"NEW YORK STOCK EXCHANGE, INC.",SCN,NYSE when trading NASDAQ Capital Market
ARCX,NYSE ARCA,SCP,NYSE Arca when trading NASDAQ Capital Market
XPSX,NASDAQ OMX PSX,SCX,NASDAQ OMX PSX for Nasdaq Capital Market
